EX	EM	
nm	nm	
		Z of Processed Data: RM
600	211.124	0
600	212.698	0
600	214.273	0
600	215.848	0
600	217.424	0
600	219.001	0
600	220.579	0
600	222.157	0
600	223.736	0
600	225.315	0
600	226.896	0
600	228.477	0
600	230.058	0
600	231.641	0
600	233.224	0
600	234.808	0
600	236.392	0
600	237.977	0
600	239.563	0
600	241.15	0
600	242.737	0
600	244.325	0
600	245.913	0
600	247.503	0
600	249.093	0
600	250.683	0
600	252.274	0
600	253.866	0
600	255.459	0
600	257.052	0
600	258.646	0
600	260.241	0
600	261.836	0
600	263.432	0
600	265.028	0
600	266.625	0
600	268.223	0
600	269.822	0
600	271.421	0
600	273.021	0
600	274.621	0
600	276.222	0
600	277.824	0
600	279.426	0
600	281.029	0
600	282.633	0
600	284.237	0
600	285.842	0
600	287.448	0
600	289.054	0
600	290.661	0
600	292.268	0
600	293.876	0
600	295.485	0
600	297.094	0
600	298.704	0
600	300.315	0
600	301.926	0
600	303.538	0
600	305.15	0
600	306.763	0
600	308.377	0
600	309.991	0
600	311.606	0
600	313.221	0
600	314.837	0
600	316.454	0
600	318.071	0
600	319.689	0
600	321.307	0
600	322.926	0
600	324.546	0
600	326.166	0
600	327.787	0
600	329.408	0
600	331.03	0
600	332.653	0
600	334.276	0
600	335.9	0
600	337.524	0
600	339.149	0
600	340.774	0
600	342.4	0
600	344.026	0
600	345.653	0
600	347.281	0
600	348.909	0
600	350.538	0
600	352.167	0
600	353.797	0
600	355.428	0
600	357.059	0
600	358.69	0
600	360.322	0
600	361.955	0
600	363.588	0
600	365.222	0
600	366.856	0
600	368.491	0
600	370.126	0
600	371.762	0
600	373.398	0
600	375.035	0
600	376.672	0
600	378.31	0
600	379.949	0
600	381.588	0
600	383.227	0
600	384.867	0
600	386.508	0
600	388.149	0
600	389.79	0
600	391.432	0
600	393.075	0
600	394.718	0
600	396.361	0
600	398.005	0
600	399.65	0
600	401.295	0
600	402.941	0
600	404.587	0
600	406.233	0
600	407.88	0
600	409.527	0
600	411.175	0
600	412.824	0
600	414.473	0
600	416.122	0
600	417.772	0
600	419.422	0
600	421.073	0
600	422.724	0
600	424.376	0
600	426.028	0
600	427.681	0
600	429.334	0
600	430.987	0
600	432.641	0
600	434.295	0
600	435.95	0
600	437.606	0
600	439.261	0
600	440.918	0
600	442.574	0
600	444.231	0
600	445.889	0
600	447.547	0
600	449.205	0
600	450.864	0
600	452.523	0
600	454.182	0
600	455.842	0
600	457.503	0
600	459.164	0
600	460.825	0
600	462.487	0
600	464.149	0
600	465.811	0
600	467.474	0
600	469.137	0
600	470.801	0
600	472.465	0
600	474.13	0
600	475.794	0
600	477.46	0
600	479.125	0
600	480.791	0
600	482.458	0
600	484.124	0
600	485.792	0
600	487.459	0
600	489.127	0
600	490.795	0
600	492.464	0
600	494.133	0
600	495.802	0
600	497.472	0
600	499.142	0
600	500.812	0
600	502.483	0
600	504.154	0
600	505.825	0
600	507.497	0
600	509.169	0
600	510.842	0
600	512.514	0
600	514.187	0
600	515.861	0
600	517.535	0
600	519.209	0
600	520.883	0
600	522.558	0
600	524.233	0
600	525.908	0
600	527.584	0
600	529.26	0
600	530.936	0
600	532.613	0
600	534.29	0
600	535.967	0
600	537.644	0
600	539.322	0
600	541	0
600	542.678	0
600	544.357	0
600	546.036	0
600	547.715	0
600	549.395	0
600	551.074	0
600	552.754	0
600	554.435	0
600	556.115	0
600	557.796	0
600	559.477	0
600	561.159	0
600	562.84	0
600	564.522	0
600	566.204	0
600	567.886	0
600	569.569	0
600	571.252	0
600	572.935	0
600	574.618	0
600	576.302	0
600	577.986	0
600	579.67	0
600	581.354	0
600	583.038	0
600	584.723	0
600	586.408	0
600	588.093	0
600	589.778	0
600	591.464	0
600	593.15	0
600	594.835	0
600	596.522	0
600	598.208	0
600	599.894	0
600	601.581	0
600	603.268	0
600	604.955	0
600	606.643	0
600	608.33	0
600	610.018	-1041.88940388829
600	611.705	-368.15299923566
600	613.394	-156.832875009257
600	615.082	-17.5985288248619
600	616.77	-34.7122102275654
600	618.459	8.39571229000008
600	620.147	-39.4752467540306
595	211.124	0
595	212.698	0
595	214.273	0
595	215.848	0
595	217.424	0
595	219.001	0
595	220.579	0
595	222.157	0
595	223.736	0
595	225.315	0
595	226.896	0
595	228.477	0
